,Ano,#,Especialidade,Local,Numero_Ordem
0,2016,1.0,Cardiologia,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",1.0
1,2016,2.0,Dermatovenereologia,"Centro Hospitalar Lisboa Central, E.P.E.",2.0
2,2016,3.0,Gastroenterologia,Hospital Beatriz Ângelo,3.0
3,2016,4.0,Dermatovenereologia,"Centro Hospitalar do Porto, E.P.E.",4.0
4,2016,5.0,Dermatovenereologia,"Centro Hospitalar de São João, E.P.E.",5.0
5,2016,6.0,Cardiologia,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",6.0
6,2016,7.0,Gastroenterologia,"Hospital Prof. Dr. Fernando Fonseca, E.P.E.",7.0
7,2016,8.0,Dermatovenereologia,Hospital de Braga,8.0
8,2016,9.0,Gastroenterologia,"Centro Hospitalar Lisboa Central, E.P.E.",9.0
9,2016,10.0,Dermatovenereologia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",10.0
10,2016,11.0,Cardiologia,Hospital de Braga,11.0
11,2016,12.0,Dermatovenereologia,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",12.0
12,2016,13.0,Dermatovenereologia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",13.0
13,2016,14.0,Cardiologia,"Centro Hospitalar Lisboa Central, E.P.E.",14.0
14,2016,15.0,Neurologia,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",15.0
15,2016,16.0,Oftalmologia,"Centro Hospitalar Lisboa Central, E.P.E.",16.0
16,2016,17.0,Cardiologia,"Centro Hospitalar de São João, E.P.E.",17.0
17,2016,18.0,Cardiologia,"Centro Hospitalar de Lisboa Norte, E.P.E.",18.0
18,2016,19.0,Cirurgia Plástica Reconstrutiva Estética,"Centro Hospitalar Lisboa Central, E.P.E.",19.0
19,2016,20.0,Gastroenterologia,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",20.0
20,2016,21.0,Cardiologia,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",21.0
21,2016,22.0,Medicina Legal,Instituto Nacional Medicina Legal - Delegação do Norte,22.0
22,2016,23.0,Angiologia e Cirurgia Vascular,"Centro Hospitalar do Porto, E.P.E.",23.0
23,2016,24.0,Ortopedia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",24.0
24,2016,25.0,Urologia,"Centro Hospitalar do Porto, E.P.E.",25.0
25,2016,26.0,Cardiologia,"Centro Hospitalar de São João, E.P.E.",26.0
26,2016,27.0,Cardiologia,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",27.0
27,2016,28.0,Cardiologia,"Centro Hospitalar Lisboa Central, E.P.E.",28.0
28,2016,29.0,Cardiologia,"Centro Hospitalar de Lisboa Norte, E.P.E.",29.0
29,2016,30.0,Dermatovenereologia,"Hospital Distrital de Santarém, E.P.E.",30.0
30,2016,31.0,Oftalmologia,"Centro Hospitalar Lisboa Central, E.P.E.",31.0
31,2016,32.0,Dermatovenereologia,"Centro Hospitalar de Lisboa Norte, E.P.E.",32.0
32,2016,33.0,Ginecologia/Obstetricia,"Hospital Divino Espírito Santo de Ponta Delgada, E.P.E.",33.0
33,2016,34.0,Neurologia,"Centro Hospitalar do Porto, E.P.E.",34.0
34,2016,35.0,Hematologia Clínica,"Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. ",35.0
35,2016,36.0,Dermatovenereologia,"Hospital Garcia de Orta, E.P.E.",36.0
36,2016,37.0,Cardiologia,"Centro Hospitalar do Porto, E.P.E.",37.0
37,2016,38.0,Cirurgia Pediátrica,"Centro Hospitalar de São João, E.P.E.",38.0
38,2016,39.0,Cardiologia,"Centro Hospitalar do Tâmega e Sousa, E.P.E.",39.0
39,2016,40.0,Oftalmologia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",40.0
40,2016,41.0,Angiologia e Cirurgia Vascular,"Centro Hospitalar de São João, E.P.E.",41.0
41,2016,42.0,Ortopedia,"Centro Hospitalar do Porto, E.P.E.",42.0
42,2016,43.0,Oftalmologia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",43.0
43,2016,44.0,Medicina Interna,"Hospital Prof. Dr. Fernando Fonseca, E.P.E.",44.0
44,2016,45.0,Cirurgia Pediátrica,"Centro Hospitalar de Lisboa Norte, E.P.E.",45.0
45,2016,46.0,Gastroenterologia,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",46.0
46,2016,47.0,Cardiologia,"Hospital Garcia de Orta, E.P.E.",47.0
47,2016,48.0,Dermatovenereologia,"Centro Hospitalar de Lisboa Norte, E.P.E.",48.0
48,2016,49.0,Oftalmologia,"Centro Hospitalar de São João, E.P.E.",49.0
49,2016,50.0,Cirurgia Plástica Reconstrutiva Estética,"Centro Hospitalar de Lisboa Norte, E.P.E.",50.0
50,2016,51.0,Cardiologia,"Hospital Prof. Dr. Fernando Fonseca, E.P.E.",51.0
51,2016,52.0,Radiologia,"Centro Hospitalar de São João, E.P.E.",52.0
52,2016,53.0,Gastroenterologia,"Instituto Português Oncologia de Lisboa Francisco Gentil, E.P.E.",53.0
53,2016,54.0,Ginecologia/Obstetricia,Hospital Beatriz Ângelo,54.0
54,2016,55.0,Gastroenterologia,"Hospital Divino Espírito Santo de Ponta Delgada, E.P.E.",55.0
